Scientific name,Common name,"IUCN Red List(2018)Category","IUCN RedList (2019)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Allactaga euphratica,Euphrates Jerboa,NT,LC,N,2019‐3
Allochrocebus solatus,Sun‐tailed Monkey,VU,NT,N,2019‐1
Antechinus godmani,Atherton Antechinus,NT,LC,N,2019‐1
Aotus miconax,Andean Night Monkey,VU,EN,G,2019‐2
Arctocebus calabarensis,Calabar Angwantibo,LC,NT,G,2019‐1
Brachyteles arachnoides,Southern Muriqui,EN,CR,N,2019‐2
Bunomys penitus,Montane Bunomys,NT,LC,N,2019‐2
Callithrix aurita,Buffy‐tufted‐ear Marmoset,VU,EN,G,2019‐3
Callithrix kuhlii,Wied's Marmoset,NT,VU,G,2019‐3
Callosciurus nigrovittatus,Black‐striped Squirrel,NT,LC,N,2019‐1
Callosciurus quinquestriatus,Anderson's Squirrel,NT,LC,N,2019‐3
Cebuella pygmaea,Pygmy Marmoset,LC,VU,G,2019‐3
Cercocebus torquatus,Red‐capped Mangabey,VU,EN,G,2019‐1
Cercopithecus diana,Diana Monkey,VU,EN,G,2019‐3
Cercopithecus dryas,Dryas Monkey,CR,EN,N,2019‐1
Cercopithecus lowei,Lowe’s Monkey,LC,VU,G,2019‐1
Cercopithecus nictitans,Putty‐nosed Monkey,LC,NT,G,2019‐3
Cercopithecus roloway,Roloway Monkey,EN,CR,G,2019‐1
Cercopithecus sclateri,Sclater's Monkey,VU,EN,G,2019‐1
Cerradomys marinhus,Marinho’s Rice Rat,DD,LC,N,2019‐1
Coelops frithii,Tail‐less Leaf‐nosed Bat,LC,NT,N,2019‐3
Colobus vellerosus,White‐thighed Colobus,VU,CR,G,2019‐3
Craseonycteris thonglongyai,Hog‐nosed Bat,VU,NT,N,2019‐3
Crocidura desperata,Desperate Shrew,EN,VU,N,2019‐3
Crocidura nana,Dwarf White‐toothed Shrew,LC,DD,N,2019‐1
Crocidura tansaniana,Tanzanian Shrew,EN,NT,N,2019‐2
Crocidura zimmermanni,Zimmermann's Shrew,VU,EN,N,2019‐1
Crunomys melanius,Mindanao Shrew Mouse,VU,LC,N,2019‐2
Ctenomys azarae,Azara's Tuco‐tuco,VU,EN,N,2019‐3
Ctenomys bergi,,VU,EN,N,2019‐3
Ctenomys emilianus,Emily's Tuco‐tuco,NT,LC,N,2019‐3
Ctenomys fulvus,Tawny Tuco‐tuco,LC,DD,N,2019‐1
Ctenomys latro,Mottled Tuco‐tuco,VU,EN,N,2019‐3
Ctenomys magellanicus,Magellanic Tuco‐tuco,VU,LC,N,2019‐1
Ctenomys pundti,,VU,EN,N,2019‐3
Dasyprocta coibae,Coiban Agouti,VU,NT,N,2019‐1
Dremomys gularis,Red‐throated Squirrel,LC,DD,N,2019‐1
Emballonura serii,Seri's Sheath‐tailed Bat,LC,VU,N,2019‐3
Eothenomys proditor,Yulongxuen Red‐backed Vole,LC,DD,N,2019‐1
Eptesicus bobrinskoi,Bobrinski's Serotine,LC,DD,N,2019‐3
Gerbillus latastei,Lataste's Gerbil,LC,DD,N,2019‐1
Grammomys dryas,Forest Thicket Rat,NT,LC,N,2019‐1
Handleyomys rhabdops,Striped Rice Rat,VU,EN,N,2019‐3
Hipposideros turpis,Lesser Leaf‐nosed Bat,NT,EN,N,2019‐3
Histiotus laephotis,Thomas's Big‐eared Brown Bat,NT,LC,N,2019‐2
Hylaeamys laticeps,Large‐headed Rice Rat,NT,VU,N,2019‐3
Ichthyomys hydrobates,Crab‐eating Rat,NT,LC,N,2019‐3
Ichthyomys pittieri,Pittier's Crab‐eating Rat,VU,NT,N,2019‐2
Juliomys rimofrons,Cleft‐headed Juliomys,VU,NT,N,2019‐1
Kadarsanomys sodyi,Javan Bamboo Rat,VU,EN,N,2019‐1
Lagenorhynchus australis,Peale's Dolphin,DD,LC,N,2019‐1
Lagenorhynchus obscurus,Dusky Dolphin,DD,LC,N,2019‐1
Lariscus hosei,Four‐striped Ground Squirrel,NT,LC,N,2019‐1
Lemniscomys mittendorfi,Mittendorf's Striped Grass Mouse,VU,LC,N,2019‐1
Lepus callotis,White‐sided Jackrabbit,NT,VU,N,2019‐2
Lepus fagani,Ethiopian Hare,DD,LC,N,2019‐1
Lepus insularis,Black Jackrabbit,NT,VU,N,2019‐3
Lophocebus albigena,Grey‐cheeked Mangabey,LC,VU,G,2019‐3
Lophocebus aterrimus,Black Mangabey,NT,VU,G,2019‐3
Manis culionensis,Philippine Pangolin,EN,CR,N,2019‐3
Margaretamys beccarii,Spiny Lowland Margaretamys,VU,DD,N,2019‐3
Megadendromus nikolausi,Nikolaus's Mouse,DD,VU,N,2019‐1
Melomys fraterculus,Manusela Melomys,CR,EN,N,2019‐3
Mesembriomys macrurus,Golden‐backed Tree‐rat,LC,NT,N,2019‐1
Mico nigriceps,Black‐headed Marmoset,DD,NT,N,2019‐3
Microdillus peeli,Somali Pygmy Gerbil,LC,DD,N,2019‐1
Microperoryctes aplini,Arfak Pygmy Bandicoot,DD,VU,N,2019‐1
Microperoryctes murina,Mouse Bandicoot,DD,VU,N,2019‐1
Microsciurus flaviventer,Amazon Dwarf Squirrel,DD,LC,N,2019‐1
Microtus felteni,Balkan Pine Vole,DD,LC,N,2019‐3
Microtus irani,Persian Vole,DD,VU,N,2019‐1
Microtus sachalinensis,Sakhalin Vole,NT,LC,N,2019‐1
Millardia kondana,Kondana Rat,CR,EN,N,2019‐3
Miniopterus macrocneme,Small Melanesian Bent‐winged Bat,DD,LC,N,2019‐3
Miopithecus ogouensis,Northern Talapoin Monkey,LC,NT,G,2019‐3
Miopithecus talapoin,Southern Talapoin Monkey,LC,VU,G,2019‐3
Murina puta,Taiwanese Tube‐nosed Bat,NT,LC,N,2019‐3
Murina tubinaris,Scully's Tube‐nosed Bat,LC,DD,N,2019‐3
Mus callewaerti,Callewaert's Mouse,LC,DD,N,2019‐1
Myomyscus yemeni,Yemeni Mouse,LC,DD,N,2019‐1
Myosorex babaulti,Babault's Mouse Shrew,NT,LC,N,2019‐1
Myotis macrotarsus,Pallid Large‐footed Myotis,NT,LC,N,2019‐3
Myotis pilosus,Rickett's Big‐footed Myotis,NT,VU,N,2019‐3
Mystromys albicaudatus,White‐tailed Rat,EN,VU,N,2019‐1
Necromys obscurus,Dark Bolo Mouse,NT,LC,N,2019‐3
Nelsonia neotomodon,Diminutive Wood Rat,NT,LC,N,2019‐3
Neomicroxus latebricola,Ecuadorean Grass Mouse,VU,EN,N,2019‐1
Neoromicia malagasyensis,Isalo Serotine,EN,VU,N,2019‐1
Neotoma phenax,Sonoran Woodrat,NT,LC,N,2019‐3
Nesolagus netscheri,Sumatran Striped Rabbit,VU,DD,N,2019‐2
Nesolagus timminsi,Annamite Striped Rabbit,DD,EN,N,2019‐1
Notopteris neocaledonica,New Caledonia Blossom Bat,VU,EN,G,2019‐3
Oenomys ornatus,Ghana Rufous‐nosed Rat,LC,DD,N,2019‐1
Oryctolagus cuniculus,European Rabbit,NT,EN,G,2019‐3
Oryzomys dimidiatus,Thomas's Rice Rat,LC,DD,N,2019‐1
Otomys laminatus,Laminate Vlei Rat,LC,NT,G,2019‐1
Oxymycterus josei,,EN,NT,N,2019‐1
Paracrocidura maxima,Greater Large‐headed Shrew,NT,LC,N,2019‐1
Paraxerus vexillarius,Svynnerton's Bush Squirrel,NT,LC,N,2019‐3
Phaenomys ferrugineus,Rio de Janeiro Arboreal Rat,VU,EN,N,2019‐1
Phataginus tricuspis,White‐bellied Pangolin,VU,EN,N,2019‐3
Phloeomys cumingi,Southern Luzon Phloeomys,VU,LC,N,2019‐1
Piliocolobus bouvieri,Bouvier’s Red Colobus,CR,EN,N,2019‐3
Piliocolobus gordonorum,Udzungwa Red Colobus,EN,VU,N,2019‐3
