"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
86806936,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Pachytodes","Pachytodes cerambyciformis","(Schrank, 1781)",NA,NA,NA,"LC",NA
86806954,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Pachytodes","Pachytodes erraticus","(Dalman, 1817)",NA,NA,NA,"LC",NA
86807085,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Paracorymbia","Paracorymbia fulva","(De Geer, 1775)",NA,NA,NA,"LC",NA
86807120,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Paracorymbia","Paracorymbia hybrida","(Rey, 1885)",NA,NA,NA,"LC",NA
86807132,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Paracorymbia","Paracorymbia maculicornis","(De Geer, 1775)",NA,NA,NA,"LC",NA
86807148,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Paracorymbia","Paracorymbia pallens","(Brullé, 1832)",NA,NA,NA,"LC",NA
86807153,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Paracorymbia","Paracorymbia picticornis","(Reitter, 1885)",NA,NA,NA,"LC",NA
86807170,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Paracorymbia","Paracorymbia stragulata","(Germar, 1824)",NA,NA,NA,"LC",NA
86807181,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Paracorymbia","Paracorymbia tesserula","(Charpentier, 1825)",NA,NA,NA,"EN",NA
86807235,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Pedostrangalia","Pedostrangalia pubescens","(Fabricius, 1787)",NA,NA,NA,"LC",NA
86807246,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Pedostrangalia","Pedostrangalia revestita","(Linnaeus, 1767)",NA,NA,NA,"VU",NA
86807269,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Pedostrangalia","Pedostrangalia ariadne","Daniel, 1904",NA,NA,NA,"VU",NA
86807278,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Pedostrangalia","Pedostrangalia emmipoda","(Mulsant, 1863)",NA,NA,NA,"DD",NA
